wavelength_nm,primary_R,primary_G,primary_B,display_white,illuminant_E,illuminant_A,D65
528,3.54218e-15,0.990988,3.13597e-12,0.0236188,1,77.7902,107.109
529,7.00951e-15,0.997739,1.43068e-12,0.0237797,1,78.4605,107.399
530,1.37732e-14,1,6.45263e-13,0.0238336,1,79.1326,107.689
531,2.68725e-14,0.997739,2.8771e-13,0.0237797,1,79.8065,107.361
532,5.20607e-14,0.990988,1.26823e-13,0.0236188,1,80.4821,107.032
533,1.00148e-13,0.979836,5.52671e-14,0.023353,1,81.1595,106.704
534,1.91293e-13,0.964435,2.381e-14,0.0229859,1,81.8386,106.375
535,3.62816e-13,0.944989,1.01409e-14,0.0225225,1,82.5193,106.047
536,6.83285e-13,0.921752,4.26988e-15,0.0219687,1,83.2017,105.719
537,1.27775e-12,0.895027,1.77738e-15,0.0213317,1,83.8856,105.39
538,2.37257e-12,0.865151,7.31427e-16,0.0206196,1,84.5712,105.062
539,4.3744e-12,0.832496,2.97567e-16,0.0198414,1,85.2584,104.733
540,8.00843e-12,0.797455,1.1968e-16,0.0190062,1,85.947,104.405
541,1.45581e-11,0.760439,4.75868e-17,0.018124,1,86.6372,104.369
542,2.62779e-11,0.721866,1.87057e-17,0.0172047,1,87.3288,104.333
543,4.70982e-11,0.682156,7.26917e-18,0.0162582,1,88.0219,104.297
544,8.38197e-11,0.641718,2.79268e-18,0.0152944,1,88.7165,104.261
545,1.48121e-10,0.600951,1.06067e-18,0.0143228,1,89.4124,104.225
546,2.59905e-10,0.560232,3.98259e-19,0.0133523,1,90.1097,104.189
547,4.52837e-10,0.519913,1.47834e-19,0.0123914,1,90.8083,104.153
548,7.83425e-10,0.480317,5.42511e-20,0.0114477,1,91.5082,104.118
549,1.3458e-09,0.441732,1.96819e-20,0.0105281,1,92.2095,104.082
550,2.29558e-09,0.404413,7.05908e-21,0.0096386,1,92.912,104.046
551,3.88807e-09,0.368574,2.50297e-21,0.00878443,1,93.6157,103.641
552,6.53886e-09,0.334394,8.77376e-22,0.0079698,1,94.3206,103.237
553,1.09194e-08,0.302013,3.04047e-22,0.00719805,1,95.0267,102.832
554,1.81061e-08,0.271536,1.04165e-22,0.00647168,1,95.7339,102.428
555,2.98111e-08,0.243032,3.52797e-23,0.00579232,1,96.4423,102.023
556,4.87372e-08,0.216538,1.18128e-23,0.00516087,1,97.1518,101.618
557,7.91171e-08,0.19206,3.91027e-24,0.00457749,1,97.8623,101.214
558,1.27529e-07,0.169581,1.27963e-24,0.00404172,1,98.5739,100.809
559,2.04115e-07,0.149056,4.13986e-25,0.00355254,1,99.2864,100.405
560,3.24393e-07,0.130423,1.32407e-25,0.00310846,1,100,100
561,5.11911e-07,0.113605,4.1866e-26,0.00270762,1,100.715,99.6334
562,8.02133e-07,0.0985079,1.30869e-26,0.00234781,1,101.43,99.2668
563,1.24803e-06,0.0850316,4.04423e-27,0.00202663,1,102.146,98.9003
564,1.92812e-06,0.0730673,1.23555e-27,0.0017415,1,102.864,98.5337
565,2.95782e-06,0.062503,3.73171e-28,0.00148973,1,103.582,98.1671
566,4.50544e-06,0.0532245,1.11424e-28,0.00126863,1,104.301,97.8005
567,6.81444e-06,0.0451188,3.2891e-29,0.00107549,1,105.02,97.4339
568,1.02342e-05,0.0380747,9.59837e-30,0.000907677,1,105.741,97.0674
569,1.52617e-05,0.0319853,2.76913e-30,0.000762653,1,106.462,96.7008
570,2.25985e-05,0.0267485,7.89792e-31,0.000637997,1,107.184,96.3342
571,3.32267e-05,0.022268,2.22693e-31,0.000531439,1,107.906,96.2796
572,4.8509e-05,0.0184543,6.20763e-32,0.000440873,1,108.63,96.225
573,7.03211e-05,0.0152246,1.71068e-32,0.000364368,1,109.354,96.1703
574,0.000101223,0.0125035,4.66054e-33,0.000300177,1,110.078,96.1157
575,0.000144676,0.0102223,1.25524e-33,0.000246742,1,110.803,96.0611
576,0.000205327,0.0083196,3.34229e-34,0.000202696,1,111.529,96.0065
577,0.000289349,0.00674045,8.79801e-35,0.000166864,1,112.255,95.9519
578,0.00040488,0.00543638,2.28955e-35,0.000138265,1,112.982,95.8972
579,0.000562549,0.00436481,5.89032e-36,0.000116112,1,113.709,95.8426
580,0.000776107,0.00348862,1.49814e-36,9.9817e-05,1,114.436,95.788
581,0.00106319,0.00277573,3.76696e-37,8.89928e-05,1,115.164,95.0778
582,0.0014462,0.00219854,9.36382e-38,8.34633e-05,1,115.893,94.3675
583,0.00195333,0.00173351,2.30112e-38,8.3273e-05,1,116.622,93.6573
584,0.0026197,0.00136067,5.59051e-39,8.87002e-05,1,117.351,92.947
585,0.00348862,0.00106319,1.34272e-39,0.000100275,1,118.08,92.2368
586,0.00461302,0.000827,3.18821e-40,0.000118797,1,118.81,91.5266
587,0.00605683,0.000640373,7.48395e-41,0.000145362,1,119.54,90.8163
588,0.00789648,0.000493623,1.73676e-41,0.00018138,1,120.27,90.1061
589,0.0102223,0.000378784,3.98449e-42,0.000228602,1,121.001,89.3958
590,0.01314,0.000289349,9.03713e-43,0.000289141,1,121.731,88.6856
591,0.0167713,0.000220032,2.02634e-43,0.000365489,1,122.462,88.8177
592,0.0212554,0.000166565,4.49178e-44,0.000460532,1,123.193,88.9497
593,0.0267485,0.000125521,9.84349e-45,0.000577544,1,123.924,89.0818
594,0.0334239,9.41639e-05,2.13257e-45,0.000720183,1,124.655,89.2138
595,0.0414709,7.03211e-05,4.56755e-46,0.000892463,1,125.386,89.3459
596,0.0510925,5.22782e-05,9.67136e-47,0.00109871,1,126.118,89.478
597,0.062503,3.86892e-05,2.02449e-47,0.00134347,1,126.849,89.61
598,0.0759227,2.85032e-05,4.18956e-48,0.00163149,1,127.58,89.7421
599,0.0915738,2.09041e-05,8.57127e-49,0.00196749,1,128.312,89.8741
600,0.109673,1.52617e-05,1.73359e-49,0.00235612,1,129.043,90.0062
601,0.130423,1.10919e-05,3.46635e-50,0.00280174,1,129.774,89.9655
602,0.154007,8.02505e-06,6.85208e-51,0.00330823,1,130.505,89.9248
603,0.180573,5.77992e-06,1.33905e-51,0.00387881,1,131.236,89.884
604,0.21023,4.14409e-06,2.587e-52,0.0045158,1,131.966,89.8433
605,0.243032,2.95782e-06,4.94105e-53,0.00522036,1,132.697,89.8026
606,0.278972,2.10159e-06,9.32968e-54,0.00599233,1,133.427,89.7619
607,0.317971,1.48648e-06,1.74156e-54,0.00683,1,134.157,89.7212
608,0.359867,1.04665e-06,3.21392e-55,0.0077299,1,134.887,89.6805
609,0.404413,7.33638e-07,5.86348e-56,0.00868673,1,135.617,89.6398
610,0.451269,5.11911e-07,1.05755e-56,0.0096932,1,136.346,89.5991
611,0.500006,3.55583e-07,1.88569e-57,0.01074,1,137.075,89.4091
612,0.550102,2.4588e-07,3.32403e-58,0.0118161,1,137.804,89.219
613,0.600951,1.69254e-07,5.79272e-59,0.0129083,1,138.532,89.029
614,0.651873,1.15981e-07,9.97988e-60,0.0140021,1,139.26,88.8389
615,0.702127,7.91171e-08,1.69978e-60,0.0150816,1,139.988,88.6489
616,0.750926,5.37264e-08,2.86209e-61,0.0161298,1,140.715,88.4589
617,0.797455,3.63195e-08,4.76431e-62,0.0171292,1,141.441,88.2688
618,0.840899,2.44414e-08,7.84043e-63,0.0180624,1,142.167,88.0788
619,0.88046,1.63736e-08,1.27557e-63,0.0189121,1,142.893,87.8887
620,0.915385,1.09194e-08,2.0516e-64,0.0196623,1,143.618,87.6987
621,0.944989,7.24916e-09,3.26217e-65,0.0202982,1,144.343,87.2577
622,0.968674,4.79082e-09,5.12796e-66,0.0208069,1,145.067,86.8167
623,0.985954,3.15185e-09,7.96905e-67,0.0211781,1,145.79,86.3756
624,0.99647,2.06422e-09,1.22432e-67,0.021404,1,146.513,85.9346
625,1,1.3458e-09,1.85953e-68,0.0214798,1,147.235,85.4936
626,0.99647,8.73454e-10,2.79215e-69,0.021404,1,147.957,85.0526
627,0.985954,5.6433e-10,4.14476e-70,0.0211781,1,148.678,84.6116
628,0.968674,3.62961e-10,6.08251e-71,0.0208069,1,149.398,84.1706
629,0.944989,2.32392e-10,8.82453e-72,0.0202982,1,150.117,83.7296
630,0.915385,1.48121e-10,1.26568e-72,0.0196623,1,150.836,83.2886
631,0.88046,9.39823e-11,1.79466e-73,0.0189121,1,151.554,83.3297
632,0.840899,5.93621e-11,2.51572e-74,0.0180624,1,152.271,83.3707
633,0.797455,3.73256e-11,3.48633e-75,0.0171292,1,152.988,83.4118
634,0.750926,2.33635e-11,4.77638e-76,0.0161297,1,153.704,83.4528
635,0.702127,1.45581e-11,6.46925e-77,0.0150816,1,154.418,83.4939
636,0.651873,9.03035e-12,8.6623e-78,0.0140021,1,155.132,83.535
637,0.600951,5.57621e-12,1.14667e-78,0.0129083,1,155.845,83.576
638,0.550102,3.42773e-12,1.5006e-79,0.0118161,1,156.558,83.6171
639,0.500006,2.09754e-12,1.94141e-80,0.01074,1,157.269,83.6581
640,0.451269,1.27775e-12,2.48309e-81,0.00969319,1,157.979,83.6992
641,0.404413,7.74848e-13,3.13974e-82,0.00868671,1,158.689,83.332
642,0.359867,4.67758e-13,3.92482e-83,0.00772988,1,159.397,82.9647
643,0.317971,2.811e-13,4.85031e-84,0.00682996,1,160.104,82.5975
644,0.278972,1.68164e-13,5.92575e-85,0.00599228,1,160.811,82.2302
645,0.243032,1.00148e-13,7.15718e-86,0.00522029,1,161.516,81.863
646,0.21023,5.9372e-14,8.54604e-87,0.0045157,1,162.221,81.4958
647,0.180573,3.50394e-14,1.00882e-87,0.00387868,1,162.924,81.1285
